progression_roman,chords_example,frequency,genres,mood,example_songs
i - IV - VII - III,Am - D - G - B,uncommon,"edm, electronic, dance","mysterious, energetic","Wicked Game (Chris Isaak), Dark Horse (Katy Perry), Stay (Rihanna)"
iii - V - vi - IV,Em - G - Am - F,uncommon,"edm, pop, dance","melancholic, driving","Wake Me Up (Avicii), Stay (Zedd), Heroes (Alesso)"
ii - vi - V - I,Dm - Am - G - C,uncommon,"jazz, electronic, dance","smooth, sophisticated","Autumn Leaves (Miles Davis), Blue Bossa (Kenny Dorham), So What (Miles Davis)"
i - V - i - VI,Am - E - Am - F,uncommon,"edm, electronic, dance","dramatic, atmospheric","Rolling In The Deep (Adele), Wicked Game (Chris Isaak), Stay (Rihanna)"
ii - I - V - vi,Dm - C - G - Am,uncommon,"r&b, hip hop","smooth, romantic","Confessions Part II (Usher), The Zone (The Weeknd), In My Mind (BJ the Chicago Kid)"
ii - V - bVI - I,Dm - G - Ab - C,uncommon,"neo-soul, jazz","groovy, sophisticated","Waterfalls (TLC), Ascension (Maxwell), Brown Sugar (D'Angelo)"
vi - IV - I - ii,Am - F - C - Dm,common,"r&b, pop","romantic, heartfelt","Love (Musiq Soulchild), Ordinary People (John Legend), We Belong Together (Mariah Carey)"
bVI - V - IV - I,Ab - G - F - C,uncommon,"r&b, neo-soul","sophisticated, groovy","Superstition (Stevie Wonder), Love Will Never Do (Without You) (Janet Jackson), Just the Two of Us (Bill Withers)"
I - V - bVII - IV,C - G - Bb - F,common,"hip hop, r&b","groovy, smooth","Hotline Bling (Drake), Can't Feel My Face (The Weeknd), One Dance (Drake)"
bVII - I - V - IV,Bb - C - G - F,uncommon,"r&b, hip hop","smooth, laid-back","Sugar (Maroon 5), Lose Yourself to Dance (Daft Punk), Senorita (Justin Timberlake)"
iii - vi - IV - V,Em - Am - F - G,common,"r&b, pop","romantic, uplifting","I Can't Help It (Michael Jackson), If I Ever Fall in Love (Shai), Weak (SWV)"
vi - bVII - I - V,Am - Bb - C - G,uncommon,"neo-soul, r&b","groovy, smooth","Lady (D'Angelo), Tell Me (Groove Theory), Sometimes (Bilal)"
III - VI - ii - V,E - A - Dm - G,uncommon,"avant-garde, jazz","surprising, intricate","All Blues (Miles Davis), So What (Miles Davis)"
IV - I - bIII - VII,F - C - Eb - Bb,uncommon,"experimental, alternative","complex, surprising","Pyramid Song (Radiohead), Everything In Its Right Place (Radiohead)"
I - ii - iii - bVI,C - Dm - Em - Ab,uncommon,"progressive, jazz","unconventional, intricate","Take Five (Dave Brubeck), Blue Rondo a la Turk (Dave Brubeck)"
i - iv - i - VI,Am - Dm - Am - F,common,"experimental, alternative","melancholic, unconventional","Creep (Radiohead), No Surprises (Radiohead)"
ii - bVII - bVI - V,Dm - Bb - Ab - G,uncommon,"experimental, jazz","surprising, dark","Freedom Jazz Dance (Miles Davis), Footprints (Wayne Shorter)"
V - bVI - i - bVII,G - Ab - Am - Bb,uncommon,"progressive, avant-garde","complex, epic","21st Century Schizoid Man (King Crimson), Larks' Tongues In Aspic (King Crimson)"
i - bVII - VI - V,Am - G - F - E,uncommon,"rock, experimental","dark, epic","While My Guitar Gently Weeps (The Beatles), Stairway To Heaven (Led Zeppelin)"
IV - bVII - I - V,F - Bb - C - G,uncommon,"experimental, progressive","unconventional, uplifting","The National Anthem (Radiohead), Paranoid Android (Radiohead)"
bIII - bVI - bVII - i,Eb - Ab - Bb - Am,uncommon,"avant-garde, experimental","surprising, complex","Moonchild (King Crimson), Lizard (King Crimson)"
bVII - IV - I - bVI,Bb - F - C - Ab,uncommon,"experimental, alternative","dark, unconventional","The Great Gig In The Sky (Pink Floyd), Us and Them (Pink Floyd)"
V - I - bVII - IV,G - C - Bb - F,uncommon,"progressive, avant-garde","intricate, epic","Roundabout (Yes), Close to the Edge (Yes)"
bVI - III - bVII - V,Ab - E - Bb - G,uncommon,"experimental, jazz","complex, unconventional","Lennie's Pennies (Lennie Tristano), Giant Steps (John Coltrane)"
IV - bVII - bIII - I,F - Bb - Eb - C,uncommon,"progressive, experimental","surprising, intricate","Firth of Fifth (Genesis), Supper's Ready (Genesis)"
