"iii - vi - ii - V","Em - Am - Dm - G","common","jazz,pop","romantic,mellow","Careless Whisper (George Michael), Misty (Erroll Garner), The Way You Look Tonight (Frank Sinatra)"
"i - iv - VII","Am - Dm - G","common","rock,blues","dark,soulful","Riders on the Storm (The Doors), People Are Strange (The Doors), Knockin' on Heaven's Door (Bob Dylan)"
"IV - V - vi - iii","F - G - Am - Em","uncommon","pop,rock","emotional,dynamic","Every Breath You Take (The Police), With or Without You (U2), Let Her Go (Passenger)"
"I - vi - ii - V","C - Am - Dm - G","very_common","pop,jazz","romantic,classic","Blue Moon (The Marcels), Heart and Soul (Hoagy Carmichael), Save the Last Dance for Me (The Drifters)"
"i - VI - III - VII - iv","Am - F - C - G - Dm","uncommon","rock,metal","epic,dramatic","Nothing Else Matters (Metallica), One (Metallica), Fade to Black (Metallica)"
"IV - V - iii - vi","F - G - Em - Am","uncommon","pop,indie","bittersweet,hopeful","She Will Be Loved (Maroon 5), The Scientist (Coldplay), I'm Yours (Jason Mraz)"
"vi - IV - V","Am - F - G","common","pop,rock","hopeful,uplifting","With or Without You (U2), Let It Be (The Beatles), No Woman, No Cry (Bob Marley)"
"ii - V - IV - I","Dm - G - F - C","uncommon","jazz,pop","sophisticated,smooth","Georgia on My Mind (Ray Charles), Just the Way You Are (Billy Joel), My Funny Valentine (Frank Sinatra)"
"I - ii - iii - IV","C - Dm - Em - F","uncommon","pop,jazz","bright,optimistic","Ain't No Mountain High Enough (Marvin Gaye and Tammi Terrell), ABC (The Jackson 5), You Are the Sunshine of My Life (Stevie Wonder)"
"i - vii° - III - VI","Am - Bdim - C - F","uncommon","classical,rock","dark,mysterious","Symphony No. 5 (Beethoven), The Phantom of the Opera (Andrew Lloyd Webber), Creep (Radiohead)"
"I - V - IV - V","C - G - F - G","very_common","rock,pop","classic,energetic","Surfin' USA (The Beach Boys), I Saw Her Standing There (The Beatles), Louie Louie (The Kingsmen)"
"vi - V - IV - iii","Am - G - F - Em","uncommon","pop,indie","melancholic,reflective","Wake Me Up (Avicii), Apologize (OneRepublic), Counting Stars (OneRepublic)"
"I - vi - IV - iii","C - Am - F - Em","uncommon","pop,indie","bittersweet,emotional","The Reason (Hoobastank), She Will Be Loved (Maroon 5), Someone Like You (Adele)"
"IV - I - vi - V","F - C - Am - G","common","pop,rock","uplifting,anthemic","Sweet Child O' Mine (Guns N' Roses), Let It Be (The Beatles), No Woman, No Cry (Bob Marley)"
"ii - IV - V","Dm - F - G","uncommon","jazz,pop","sophisticated,playful","Moondance (Van Morrison), Wonderful Tonight (Eric Clapton), Just the Way You Are (Billy Joel)"
"vi - I - IV - V","Am - C - F - G","common","pop,folk","uplifting,hopeful","Brown Eyed Girl (Van Morrison), Stand By Me (Ben E. King), Every Breath You Take (The Police)"
"i - VII - VI - iv","Am - G - F - Dm","uncommon","rock,metal","dark,moody","Fade to Black (Metallica), The Unforgiven (Metallica), Welcome Home (Sanitarium) (Metallica)"
"IV - V - vi - I","F - G - Am - C","common","pop,rock","hopeful,uplifting","With Arms Wide Open (Creed), Every Breath You Take (The Police), Let It Be (The Beatles)"
"iii - vi - IV - I","Em - Am - F - C","uncommon","pop,rock","emotional,hopeful","The Scientist (Coldplay), She Will Be Loved (Maroon 5), Apologize (OneRepublic)"
"ii - V - iii - vi","Dm - G - Em - Am","uncommon","jazz,pop","melancholic,reflective","Autumn Leaves (Nat King Cole), My Funny Valentine (Frank Sinatra), Blue Skies (Ella Fitzgerald)"
"I - iii - vi - IV","C - Em - Am - F","common","pop,folk","hopeful,bright","I Will Follow You Into The Dark (Death Cab for Cutie), Someone Like You (Adele), The Reason (Hoobastank)"
"vi - IV - iii - ii","Am - F - Em - Dm","uncommon","pop,indie","melancholic,thoughtful","Fix You (Coldplay), With or Without You (U2), Someone Like You (Adele)"
"I - ii - V - I","C - Dm - G - C","common","jazz,pop","classic,romantic","The Way You Look Tonight (Frank Sinatra), All of Me (John Legend), Just the Way You Are (Billy Joel)"
"IV - I - V - vi","F - C - G - Am","uncommon","pop,rock","uplifting,emotional","What Makes You Beautiful (One Direction), Sweet Child O' Mine (Guns N' Roses), Let It Be (The Beatles)"
"i - VI - iv - V","Am - F - Dm - G","uncommon","rock,blues","dark,emotional","House of the Rising Sun (The Animals), Hit the Road Jack (Ray Charles), Riders on the Storm (The Doors)"
"ii - IV - I - V","Dm - F - C - G","uncommon","jazz,pop","smooth,romantic","Georgia on My Mind (Ray Charles), Just the Way You Are (Billy Joel), The Girl from Ipanema (Stan Getz)"
