progression_roman,chords_example,frequency,genres,mood,example_songs
IV - I6 - V,F - C/E - G,not common,"rock, pop, R&B, folk, and country music","movement and anticipation toward a climactic resolution, uplifting, dynamic, or poignant","Fix you (coldplay), tiny dancer (elton john), ridin' solo (jason derulo), the heart of my life (john mayer), let me love you (ne-yo), somebody to love (queen)"
IV - I6 - ii,F - C/E - dm,not common,"pop, rock, jazz, folk, singer-songwriter","smooth, moving, and introspective mood","bad day (daniel powter), thinking out loud (ed sheeran), congregation (foo fighters), let your hair down (MAGIC)"
"I - IV - I - V","C - F - C - G","common","folk,country","simple,traditional","This Land Is Your Land (Woody Guthrie), Amazing Grace (Traditional), You Are My Sunshine (Jimmie Davis)"
"i - iv - VII - III","Am - Dm - G - C","common","indie,alternative","moody,introspective","Creep (Radiohead), Mad World (Gary Jules), Hurt (Nine Inch Nails)"
"I - iii - vi - IV","C - Em - Am - F","common","pop,ballad","emotional,tender","Let It Be (The Beatles), Hello (Adele), Fix You (Coldplay)"
"vi - V - IV - V","Am - G - F - G","common","rock,pop","building,powerful","Livin On A Prayer (Bon Jovi), Eye of the Tiger (Survivor)"
"I - V - IV","C - G - F","very_common","folk,rock","straightforward,classic","Knockin On Heavens Door (Bob Dylan), What I Got (Sublime), Three Little Birds (Bob Marley)"
"i - VI - VII","Am - F - G","common","rock,grunge","dark,heavy","All Along The Watchtower (Jimi Hendrix), Zombie (The Cranberries)"
"I - ii - IV - V","C - Dm - F - G","common","jazz,pop","sophisticated,smooth","Autumn Leaves (Jazz Standard), Fly Me To The Moon (Frank Sinatra)"
"I - bVII - IV","C - Bb - F","common","rock,alternative","edgy,modern","Sweet Child O Mine (Guns N Roses), Sympathy For The Devil (Rolling Stones)"
"vi - ii - V - I","Am - Dm - G - C","common","jazz,pop","jazzy,classic","All The Things You Are (Jazz Standard), Satin Doll (Duke Ellington)"
"I - bIII - bVII - IV","C - Eb - Bb - F","common","rock,indie","dramatic,anthemic","Wonderwall (Oasis), Mr Brightside (The Killers)"
"i - bVII - bVI - bVII","Am - G - F - G","common","rock,metal","heavy,powerful","Stairway To Heaven (Led Zeppelin), Still Loving You (Scorpions)"
"I - vi - ii - V","C - Am - Dm - G","common","oldies,doo-wop","nostalgic,sweet","Heart And Soul (Hoagy Carmichael), Blue Moon (The Marcels), Stand By Me (Ben E King)"
"vi - IV - V - iii","Am - F - G - Em","common","indie,folk","melancholic,flowing","The Scientist (Coldplay), Skinny Love (Bon Iver)"
"I - V - vi - iii - IV","C - G - Am - Em - F","common","pop,indie","expansive,emotional","Viva La Vida (Coldplay), Secrets (OneRepublic)"
"i - iv - i - V","Am - Dm - Am - E","common","folk,traditional","minor,somber","House Of The Rising Sun (The Animals), Summertime (George Gershwin)"
"I - III - IV - iv","C - E - F - Fm","uncommon","pop,jazz","surprising,colorful","Something (The Beatles), Blackbird (The Beatles)"
"I - IV - vi - V","C - F - Am - G","common","pop,country","uplifting,positive","Country Roads (John Denver), Save Tonight (Eagle-Eye Cherry)"
"vi - V - IV - III","Am - G - F - E","uncommon","rock,alternative","descending,dramatic","Stairway To Heaven intro (Led Zeppelin), While My Guitar Gently Weeps (The Beatles)"
"I - IV - V","C - F - G","very_common","rock,blues","energetic,classic","Twist and Shout (The Beatles), La Bamba (Ritchie Valens), Wild Thing (The Troggs)"
"ii - V - I","Dm - G - C","very_common","jazz,swing","relaxed,sophisticated","Autumn Leaves (Nat King Cole), Blue Bossa (Kenny Dorham), Fly Me to the Moon (Frank Sinatra)"
"i - iv - v","Am - Dm - Em","common","blues,rock","dark,soulful","House of the Rising Sun (The Animals), Hit the Road Jack (Ray Charles), Walk on the Wild Side (Lou Reed)"
"vi - ii - V - I","Am - Dm - G - C","common","pop,jazz","uplifting,romantic","One Love (Bob Marley), What a Wonderful World (Louis Armstrong), Can't Help Falling in Love (Elvis Presley)"
"I - vi - IV - V","C - Am - F - G","very_common","pop,rock","uplifting,anthemic","Stand By Me (Ben E. King), Every Breath You Take (The Police), Unchained Melody (The Righteous Brothers)"
"IV - I - V","F - C - G","common","country,folk","happy,nostalgic","Sweet Home Alabama (Lynyrd Skynyrd), Country Roads (John Denver), Good Riddance (Green Day)"
"ii - V - i","Dm - G - Am","common","jazz,latin","mysterious,romantic","Black Orpheus (Luiz Bonfá), The Girl from Ipanema (Stan Getz), How Insensitive (Antonio Carlos Jobim)"
"i - VI - III - VII","Am - F - C - G","common","rock,metal","dark,epic","The Unforgiven (Metallica), Fade to Black (Metallica), Welcome Home (Sanitarium) (Metallica)"
"IV - V - I","F - G - C","common","rock,pop","triumphant,classic","I Want to Hold Your Hand (The Beatles), Be My Baby (The Ronettes), Sweet Caroline (Neil Diamond)"
"i - VII - VI - V","Am - G - F - E","common","rock,metal","dark,moody","Stairway to Heaven (Led Zeppelin), While My Guitar Gently Weeps (The Beatles), Hotel California (Eagles)"
"I - V - IV","C - G - F","very_common","rock,pop","energetic,uplifting","Brown Eyed Girl (Van Morrison), Stir It Up (Bob Marley), You Can't Always Get What You Want (The Rolling Stones)"
"vi - I - V","Am - C - G","common","pop,folk","melancholic,bittersweet","Tears in Heaven (Eric Clapton), With or Without You (U2), No Woman, No Cry (Bob Marley)"
"ii - IV - I","Dm - F - C","uncommon","jazz,pop","relaxed,romantic","Just the Two of Us (Bill Withers), Isn't She Lovely (Stevie Wonder), Sir Duke (Stevie Wonder)"
"I - IV - vi - V","C - F - Am - G","very_common","pop,rock","uplifting,happy","Let It Be (The Beatles), With A Little Help From My Friends (The Beatles), No Woman, No Cry (Bob Marley)"
"iii - vi - ii - V","Em - Am - Dm - G","common","jazz,pop","romantic,mellow","Careless Whisper (George Michael), Misty (Erroll Garner), The Way You Look Tonight (Frank Sinatra)"
"i - iv - VII","Am - Dm - G","common","rock,blues","dark,soulful","Riders on the Storm (The Doors), People Are Strange (The Doors), Knockin' on Heaven's Door (Bob Dylan)"
"IV - V - vi - iii","F - G - Am - Em","uncommon","pop,rock","emotional,dynamic","Every Breath You Take (The Police), With or Without You (U2), Let Her Go (Passenger)"
"I - vi - ii - V","C - Am - Dm - G","very_common","pop,jazz","romantic,classic","Blue Moon (The Marcels), Heart and Soul (Hoagy Carmichael), Save the Last Dance for Me (The Drifters)"
"i - VI - III - VII - iv","Am - F - C - G - Dm","uncommon","rock,metal","epic,dramatic","Nothing Else Matters (Metallica), One (Metallica), Fade to Black (Metallica)"
"IV - V - iii - vi","F - G - Em - Am","uncommon","pop,indie","bittersweet,hopeful","She Will Be Loved (Maroon 5), The Scientist (Coldplay), I'm Yours (Jason Mraz)"
"vi - IV - V","Am - F - G","common","pop,rock","hopeful,uplifting","With or Without You (U2), Let It Be (The Beatles), No Woman, No Cry (Bob Marley)"
"ii - V - IV - I","Dm - G - F - C","uncommon","jazz,pop","sophisticated,smooth","Georgia on My Mind (Ray Charles), Just the Way You Are (Billy Joel), My Funny Valentine (Frank Sinatra)"
"I - ii - iii - IV","C - Dm - Em - F","uncommon","pop,jazz","bright,optimistic","Ain't No Mountain High Enough (Marvin Gaye and Tammi Terrell), ABC (The Jackson 5), You Are the Sunshine of My Life (Stevie Wonder)"
"i - vii° - III - VI","Am - Bdim - C - F","uncommon","classical,rock","dark,mysterious","Symphony No. 5 (Beethoven), The Phantom of the Opera (Andrew Lloyd Webber), Creep (Radiohead)"
"I - V - IV - V","C - G - F - G","very_common","rock,pop","classic,energetic","Surfin' USA (The Beach Boys), I Saw Her Standing There (The Beatles), Louie Louie (The Kingsmen)"
"vi - V - IV - iii","Am - G - F - Em","uncommon","pop,indie","melancholic,reflective","Wake Me Up (Avicii), Apologize (OneRepublic), Counting Stars (OneRepublic)"
"I - vi - IV - iii","C - Am - F - Em","uncommon","pop,indie","bittersweet,emotional","The Reason (Hoobastank), She Will Be Loved (Maroon 5), Someone Like You (Adele)"
"IV - I - vi - V","F - C - Am - G","common","pop,rock","uplifting,anthemic","Sweet Child O' Mine (Guns N' Roses), Let It Be (The Beatles), No Woman, No Cry (Bob Marley)"
"ii - IV - V","Dm - F - G","uncommon","jazz,pop","sophisticated,playful","Moondance (Van Morrison), Wonderful Tonight (Eric Clapton), Just the Way You Are (Billy Joel)"
"vi - I - IV - V","Am - C - F - G","common","pop,folk","uplifting,hopeful","Brown Eyed Girl (Van Morrison), Stand By Me (Ben E. King), Every Breath You Take (The Police)"
"i - VII - VI - iv","Am - G - F - Dm","uncommon","rock,metal","dark,moody","Fade to Black (Metallica), The Unforgiven (Metallica), Welcome Home (Sanitarium) (Metallica)"
"IV - V - vi - I","F - G - Am - C","common","pop,rock","hopeful,uplifting","With Arms Wide Open (Creed), Every Breath You Take (The Police), Let It Be (The Beatles)"
"iii - vi - IV - I","Em - Am - F - C","uncommon","pop,rock","emotional,hopeful","The Scientist (Coldplay), She Will Be Loved (Maroon 5), Apologize (OneRepublic)"
"ii - V - iii - vi","Dm - G - Em - Am","uncommon","jazz,pop","melancholic,reflective","Autumn Leaves (Nat King Cole), My Funny Valentine (Frank Sinatra), Blue Skies (Ella Fitzgerald)"
"I - iii - vi - IV","C - Em - Am - F","common","pop,folk","hopeful,bright","I Will Follow You Into The Dark (Death Cab for Cutie), Someone Like You (Adele), The Reason (Hoobastank)"
"vi - IV - iii - ii","Am - F - Em - Dm","uncommon","pop,indie","melancholic,thoughtful","Fix You (Coldplay), With or Without You (U2), Someone Like You (Adele)"
"I - ii - V - I","C - Dm - G - C","common","jazz,pop","classic,romantic","The Way You Look Tonight (Frank Sinatra), All of Me (John Legend), Just the Way You Are (Billy Joel)"
"IV - I - V - vi","F - C - G - Am","uncommon","pop,rock","uplifting,emotional","What Makes You Beautiful (One Direction), Sweet Child O' Mine (Guns N' Roses), Let It Be (The Beatles)"
"i - VI - iv - V","Am - F - Dm - G","uncommon","rock,blues","dark,emotional","House of the Rising Sun (The Animals), Hit the Road Jack (Ray Charles), Riders on the Storm (The Doors)"
"ii - IV - I - V","Dm - F - C - G","uncommon","jazz,pop","smooth,romantic","Georgia on My Mind (Ray Charles), Just the Way You Are (Billy Joel), The Girl from Ipanema (Stan Getz)"
